Name of Movies,Year of release,Certificates,Duration of movie,Genre,Star,Metascore,Votes
Made for Love,2021– ,TV-MA,30 min,"Comedy, Drama, Sci-Fi",6.9,nil,"5,130"
Hacks,2021– ,TV-MA,30 min,"Comedy, Drama",8.3,nil,"5,112"
The Priest,I 2021,not rated,140 min,"Horror, Mystery, Thriller",6.6,nil,"5,034"
Maharani,2021– ,not rated,43 min,Drama,7.5,nil,"4,972"
 Broken But Beautiful,2018– ,not rated,nil,"Drama, Romance",9.5,nil,"4,849"
 Invincible,2021– ,TV-MA,44 min,"Animation, Action, Adventure",8.6,nil,"4,815"
 Rick and Morty,2013– ,TV-14,nil,"Animation, Adventure, Comedy",9.2,nil,"4,810"
 The Walking Dead,2010–2022,TV-MA,44 min,"Drama, Horror, Thriller",6.2,nil,"4,797"
Flora & Ulysses,2021,PG,95 min,"Adventure, Comedy, Family",6.3,62        ,"4,786"
 Jujutsu Kaisen,2020– ,TV-MA,24 min,"Animation, Action, Adventure",9.7,nil,"4,778"
 The Walking Dead,2010–2022,TV-MA,42 min,"Drama, Horror, Thriller",7.3,nil,"4,748"
 Broken But Beautiful,2018– ,not rated,nil,"Drama, Romance",9.6,nil,"4,735"
 Broken But Beautiful,2018– ,not rated,nil,"Drama, Romance",9.8,nil,"4,718"
 Broken But Beautiful,2018– ,not rated,nil,"Drama, Romance",9.8,nil,"4,684"
 Broken But Beautiful,2018– ,not rated,nil,"Drama, Romance",9.6,nil,"4,671"
Murder Among the Mormons,2021,TV-14,160 min,"Documentary, Crime, History",7.0,nil,"4,650"
 Broken But Beautiful,2018– ,not rated,nil,"Drama, Romance",9.5,nil,"4,632"
 Broken But Beautiful,2018– ,not rated,nil,"Drama, Romance",9.7,nil,"4,628"
 Broken But Beautiful,2018– ,not rated,nil,"Drama, Romance",9.6,nil,"4,618"
 Broken But Beautiful,2018– ,not rated,nil,"Drama, Romance",9.6,nil,"4,618"
The Legend of Hanuman,2021– ,not rated,25 min,Animation,9.4,nil,"4,607"
 The Walking Dead,2010–2022,TV-MA,48 min,"Drama, Horror, Thriller",7.5,nil,"4,574"
 Invincible,2021– ,TV-MA,42 min,"Animation, Action, Adventure",8.3,nil,"4,524"
50M2,2021– ,TV-MA,45 min,"Comedy, Drama, Thriller",7.0,nil,"4,498"
Invisible City,2021– ,TV-G,60 min,"Crime, Drama, Fantasy",7.4,nil,"4,484"
 Mare of Easttown,2021,TV-MA,57 min,"Crime, Drama, Mystery",9.4,nil,"4,455"
Crazy About Her,2021,TV-MA,102 min,"Comedy, Romance",6.6,nil,"4,451"
 Cobra Kai,2018– ,TV-14,41 min,"Action, Comedy, Drama",9.5,nil,"4,446"
Cruel Summer,2021– ,TV-14,45 min,"Drama, Mystery, Thriller",7.5,nil,"4,442"
 Invincible,2021– ,TV-MA,45 min,"Animation, Action, Adventure",7.7,nil,"4,432"
Mandela,2021,not rated,140 min,"Comedy, Drama",8.5,nil,"4,428"
Virkar,2021– ,not rated,28 min,"Crime, Thriller",9.0,nil,"4,386"
Panic,2021– ,TV-14,nil,"Adventure, Crime, Drama",6.4,nil,"4,351"
The Crew,II 2021– ,TV-14,nil,Comedy,6.6,nil,"4,316"
 Invincible,2021– ,TV-MA,45 min,"Animation, Action, Adventure",8.0,nil,"4,310"
Katla,2021– ,TV-MA,nil,"Drama, Mystery, Sci-Fi",7.2,nil,"4,299"
 Star Wars: The Bad Batch,2021– ,TV-PG,70 min,"Animation, Action, Adventure",9.0,nil,"4,289"
Nayattu,2021,not rated,124 min,Thriller,8.2,nil,"4,259"
Ajeeb Daastaans,2021,TV-MA,142 min,"Drama, Romance",6.7,nil,"4,248"
Land,2021,PG-13,89 min,Drama,6.6,61        ,"4,222"
 One Piece,1999– ,TV-14,24 min,"Animation, Action, Adventure",9.4,nil,"4,214"
Biggie: I Got a Story to Tell,2021,R,97 min,"Documentary, Biography, Music",6.9,62        ,"4,200"
Call Me Kat,2021– ,TV-PG,21 min,Comedy,5.0,nil,"4,149"
 Aspirants,2021– ,not rated,38 min,Drama,9.4,nil,"4,088"
 The Family Man,2019– ,TV-14,nil,"Action, Comedy, Drama",9.5,nil,"4,055"
History of Swear Words,2021– ,TV-MA,124 min,"Documentary, Comedy",6.4,nil,"4,015"
Have You Ever Seen Fireflies?,2021,TV-14,113 min,"Comedy, Drama",6.2,nil,"4,006"
 The Family Man,2019– ,TV-14,nil,"Action, Comedy, Drama",9.2,nil,"3,996"
Blue Miracle,2021,TV-PG,95 min,"Adventure, Biography, Drama",6.7,48        ,"3,995"
Girl in the Basement,2021,TV-14,88 min,"Crime, Thriller",6.4,nil,"3,994"
Justice Society: World War II,2021,PG-13,84 min,"Animation, Action, Adventure",6.4,nil,"3,905"
Sardar Ka Grandson,2021,TV-14,139 min,"Comedy, Drama, Romance",4.1,nil,"3,864"
His Story,2021– ,not rated,nil,Drama,9.7,nil,"3,855"
Nail Polish,2021,not rated,128 min,Drama,7.4,nil,"3,809"
The Underground Railroad,2021– ,TV-MA,593 min,"Drama, History, War",7.3,nil,"3,798"
Sexify,2021– ,TV-MA,40 min,"Comedy, Drama",6.5,nil,"3,789"
 The Family Man,2019– ,TV-14,nil,"Action, Comedy, Drama",9.6,nil,"3,787"
